REACTANTS;TYPE; ALPHA;BETA;GAMMA ; NBR;STRINGBR; REF_ALPHA;REF_BETA;REF_GAMMA;REF_BR ; COMMENTS;TIMESTAMP
"NH+ + CH3NH2";"kooij";"Logn(2.1e-09,1.2)";"Delta(0)";"Delta(0)";5;"Dirg(0.17<HCNH+ + NH3 + H>,0.05<CH2NH+ + NH3>,0.45<CH2NH2+ + NH2>,0.17<CH3NH2+ + NH>,0.16<CH3NH3+ + N4S>;0.06,0.05,0.15,0.06,0.06)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"NH+ + CH4";"kooij";"Logn(9.6e-10,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.10<CH5+ + N4S>,0.20<NH2+ + CH3>,0.70<HCNH+ + H2 + H>;0.03,0.07,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH+ + CO";"kooij";"Logn(9.8e-10,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.45<HCO+ + N4S>,0.55<NCO+ + H>;0.10,0.06)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH+ + E";"dr";"Logn(4.33e-8,2)";"Unif(0.5,1.5)";"Delta(0)";1;"N4S + H";"Woodall2007;Florescu2006;Plessis2010";"Plessis2010";"NA";"NA";"NA";2022-08-19 09:23:57
"NH+ + H2";"kooij";"Logn(1.23e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.15<H3+ + N4S>,0.85<NH2+ + H>;0.05,0.09)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH+ + H2O";"kooij";"Logn(3.5e-09,1.2)";"Delta(0)";"Delta(0)";5;"Dirg(0.25<NH2+ + OH>,0.05<NH3+ + O3P>,0.30<H2O+ + NH>,0.30<H3O+ + N4S>,0.10<HNO+ + H2>;0.08,0.05,0.10,0.10,0.03)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH+ + N2";"kooij";"Logn(6.5e-10,1.2)";"Delta(0)";"Delta(0)";1;"N2H+ + N4S";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH+ + NH3";"kooij";"Logn(2.4e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.75<NH3+ + NH>,0.25<NH4+ + N4S>;0.08,0.08)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"NH+ + O2";"kooij";"Logn(8.2e-10,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.55<O2+ + NH>,0.20<HO2+ + N4S>,0.25<NO+ + OH>;0.05,0.05,0.05)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"NH2+ + C2H4";"kooij";"Logn(1.5e-09,1.2)";"Delta(0)";"Delta(0)";4;"Dirg(0.30<C2H4+ + NH2>,0.20<C2H5+ + NH>,0.30<CH2NH2+ + 1CH2>,0.20<C2H5N+ + H>;0.10,0.07,0.10,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH2+ + CH3C2H";"kooij";"Delta(7.8e-10)";"Delta(0)";"Delta(0)";5;"Mlgn(0.37*Diri(1<C3H4+ + NH2>,1<CHCNH+ + CH4>;1),0.37*Diri(1<C3H5+ + NH>,1<CH2CNH+ + 3CH2 + H>;1),0.26<CH2CHCNH+ + H2>;1.2,1.2,1.2)";"Operti2004;Vuitton2007";"NA";"NA";"Operti2004;Vuitton2007";"The rates of the channels seem to have been measured independently: the global rate is fixed and the BR are taken here as independent, with the 20% uncertainty of the partial rates. Check products CHCNH+, CH2CNH+, CH2CHCNH+ ???";2022-08-19 09:23:57
"NH2+ + CH3NH2";"kooij";"Logn(1.9e-09,1.2)";"Delta(0)";"Delta(0)";4;"Dirg(0.08<NH4+ + CH2NH>,0.20<CH2NH2+ + NH3>,0.53<CH3NH2+ + NH2>,0.20<CH3NH3+ + NH>;0.08,0.07,0.06,0.07)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"NH2+ + CH4";"kooij";"Logn(9.2e-10,1.2)";"Delta(0)";"Delta(0)";1;"NH3+ + CH3";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH2+ + E";"dr";"Logu(0.5e-7,1.0e-06)";"Unif(0.5,1.5e+00)";"Delta(0)";5;"Dirg(0.04<N4S + H2>,0.38<NH + H>,0.58*Dirg(0.53<N4S + H + H>,0.45<N2D + H + H>,0.02<N2P + H + H>;0.04,0.05,0.02);0.03,0.06,0.09)";"Plessis2010";"Plessis2010";"NA";"Vikor1999;Thomas2005a";"NA";2022-08-19 09:23:57
"NH2+ + H2";"kooij";"Logn(1.95e-10,1.5)";"Delta(0)";"Delta(0)";1;"NH3+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH2+ + H2O";"kooij";"Logn(2.9e-09,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.03<NH3+ + OH>,0.03<NH4+ + O3P>,0.94<H3O+ + NH>;0.03,0.03,0.09)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
