 Lambda  Total   C+S2     S+CS     CS+S     S2+C     CS2+     CS/S     CS/S1D   tCS/S    A1CS/S  
 1940.0 1.40E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.34E-17 4.66E-17 0.00E+00 0.00E+00
 1945.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 1950.0 3.80E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.53E-16 1.27E-16 0.00E+00 0.00E+00
 1955.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 1960.0 1.40E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.34E-17 4.66E-17 0.00E+00 0.00E+00
 1965.0 4.70E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.13E-16 1.57E-16 0.00E+00 0.00E+00
 1970.0 2.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.67E-16 8.33E-17 0.00E+00 0.00E+00
 1973.0 1.40E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.34E-17 4.66E-17 0.00E+00 0.00E+00
 1975.0 1.60E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.07E-16 5.33E-17 0.00E+00 0.00E+00
 1980.0 2.00E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-16 6.66E-17 0.00E+00 0.00E+00
 1982.0 5.30E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.54E-16 1.76E-16 0.00E+00 0.00E+00
 1985.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 1990.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 1995.0 5.20E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.47E-16 1.73E-16 0.00E+00 0.00E+00
 1998.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 2003.0 5.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.34E-17 1.66E-17 0.00E+00 0.00E+00
 2006.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 2008.0 2.00E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-16 6.66E-17 0.00E+00 0.00E+00
