 Lambda  Total   SO/O     S/O2     SO2band  SO2+    
 1919.0 8.61E-18 4.30E-18 4.30E-18 0.00E+00 0.00E+00
 1920.0 1.09E-17 5.45E-18 5.45E-18 0.00E+00 0.00E+00
 1921.0 9.13E-18 4.56E-18 4.56E-18 0.00E+00 0.00E+00
 1922.0 5.93E-18 2.97E-18 2.97E-18 0.00E+00 0.00E+00
 1923.0 4.28E-18 2.14E-18 2.14E-18 0.00E+00 0.00E+00
 1924.0 3.27E-18 1.63E-18 1.63E-18 0.00E+00 0.00E+00
 1925.0 4.83E-18 2.41E-18 2.41E-18 0.00E+00 0.00E+00
 1926.0 6.33E-18 3.17E-18 3.17E-18 0.00E+00 0.00E+00
 1927.0 6.78E-18 3.39E-18 3.39E-18 0.00E+00 0.00E+00
 1928.0 5.52E-18 2.76E-18 2.76E-18 0.00E+00 0.00E+00
 1929.0 3.86E-18 1.93E-18 1.93E-18 0.00E+00 0.00E+00
 1930.0 3.53E-18 1.76E-18 1.76E-18 0.00E+00 0.00E+00
 1931.0 1.01E-17 5.05E-18 5.05E-18 0.00E+00 0.00E+00
 1932.0 1.58E-17 7.90E-18 7.90E-18 0.00E+00 0.00E+00
 1933.0 1.19E-17 5.95E-18 5.95E-18 0.00E+00 0.00E+00
 1934.0 7.50E-18 3.75E-18 3.75E-18 0.00E+00 0.00E+00
 1935.0 7.78E-18 3.89E-18 3.89E-18 0.00E+00 0.00E+00
 1936.0 6.63E-18 3.32E-18 3.32E-18 0.00E+00 0.00E+00
 1937.0 5.12E-18 2.56E-18 2.56E-18 0.00E+00 0.00E+00
 1938.0 4.58E-18 2.29E-18 2.29E-18 0.00E+00 0.00E+00
 1939.0 4.55E-18 2.27E-18 2.27E-18 0.00E+00 0.00E+00
 1940.0 5.20E-18 2.60E-18 2.60E-18 0.00E+00 0.00E+00
 1941.0 4.74E-18 2.37E-18 2.37E-18 0.00E+00 0.00E+00
 1942.0 5.22E-18 2.61E-18 2.61E-18 0.00E+00 0.00E+00
 1943.0 5.46E-18 2.73E-18 2.73E-18 0.00E+00 0.00E+00
 1944.0 1.02E-17 5.10E-18 5.10E-18 0.00E+00 0.00E+00
 1945.0 7.51E-18 3.75E-18 3.75E-18 0.00E+00 0.00E+00
 1946.0 5.30E-18 2.65E-18 2.65E-18 0.00E+00 0.00E+00
 1947.0 1.07E-17 5.35E-18 5.35E-18 0.00E+00 0.00E+00
 1948.0 1.55E-17 7.75E-18 7.75E-18 0.00E+00 0.00E+00
 1949.0 1.22E-17 6.10E-18 6.10E-18 0.00E+00 0.00E+00
 1950.0 7.76E-18 3.88E-18 3.88E-18 0.00E+00 0.00E+00
 1951.0 5.61E-18 2.81E-18 2.81E-18 0.00E+00 0.00E+00
