 Lambda  Total   C+SO     O+CS     CO+S     S+CO     CS+O     COS+     CO/S1S   CS/O     CO/S1D   CS/O1D   CO/S    
 1240.0 7.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.12E-18 0.00E+00 0.00E+00 5.88E-18 0.00E+00
 1245.0 2.98E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.62E-19 0.00E+00 0.00E+00 2.52E-18 0.00E+00
 1250.0 3.42E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.13E-18 0.00E+00 0.00E+00 2.91E-17 0.00E+00
 1255.0 4.84E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.02E-19 0.00E+00 0.00E+00 4.14E-18 0.00E+00
 1261.0 3.16E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.39E-18 0.00E+00 0.00E+00 2.72E-17 0.00E+00
 1267.0 6.32E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.41E-19 0.00E+00 0.00E+00 5.48E-18 0.00E+00
 1270.0 4.65E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.04E-18 0.00E+00 0.00E+00 4.05E-17 0.00E+00
 1277.0 7.25E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.92E-19 0.00E+00 0.00E+00 6.36E-18 0.00E+00
 1284.0 2.19E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.54E-17 0.00E+00 0.00E+00 1.94E-16 0.00E+00
 1290.0 8.18E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.00E-19 0.00E+00 0.00E+00 7.28E-18 0.00E+00
 1295.0 3.16E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.32E-17 0.00E+00 0.00E+00 2.83E-16 0.00E+00
 1306.0 6.70E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.70E-19 0.00E+00 0.00E+00 6.03E-18 0.00E+00
 1308.0 3.35E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.35E-18 0.00E+00 0.00E+00 3.02E-17 0.00E+00
 1314.0 6.77E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.77E-19 0.00E+00 0.00E+00 6.09E-18 0.00E+00
 1322.0 3.72E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.72E-18 0.00E+00 0.00E+00 3.35E-17 0.00E+00
 1328.0 4.84E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.84E-19 0.00E+00 0.00E+00 4.36E-18 0.00E+00
 1332.0 1.00E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-17 0.00E+00 0.00E+00 9.00E-17 0.00E+00
 1342.0 4.84E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.84E-19 0.00E+00 0.00E+00 4.36E-18 0.00E+00
 1346.0 1.23E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.23E-17 0.00E+00 0.00E+00 1.11E-16 0.00E+00
 1354.0 4.84E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.84E-19 0.00E+00 0.00E+00 4.36E-18 0.00E+00
